source_code,source_concept_id,source_vocabulary_id,source_code_description,valid_start_date,valid_end_date,invalid_reason,target_concept_id,target_vocabulary_id,target_vocabulary_code,domain_id,confidence_score
Cloridrato de idarrubicina,0.0,SUS,Idarrubicin Hydrochloride,1970-01-01,2099-12-31,,19078097,RxNorm,5650,Drug,0.5096394419670105
Avelumabe,0.0,SUS,Avelumab,1970-01-01,2099-12-31,,1593273,RxNorm,1875534,Drug,0.9999986523105235
Vinorelbina,0.0,SUS,Vinorelbine,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.9999977163840867
Erdafitinibe,0.0,SUS,ErdaFitinib,1970-01-01,2099-12-31,,1511250,RxNorm,2123125,Drug,0.46615326404571533
Hemitartarato de vinorelbina,0.0,SUS,Vinorelbine hemitatar,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.7427484393119812
Melfalana,0.0,SUS,Mellphalana,1970-01-01,2099-12-31,,4148454,SNOMED,30580006,Observation,0.03030836582183838
Ciclofosfamida monoidratada,0.0,SUS,Monohydrate cyclophosphamide,1970-01-01,2099-12-31,,1310317,RxNorm,3002,Drug,0.755225270986557
Hemifumarato de cobimetinibe,0.0,SUS,Cobimetinib hemifumarate,1970-01-01,2099-12-31,,35605804,RxNorm,1722365,Drug,0.9999985390953725
Nilotinibe,0.0,SUS,Nilotinib,1970-01-01,2099-12-31,,1394023,RxNorm,662281,Drug,0.9999983239500807
Ditartarato de vinorelbina,0.0,SUS,Vinorelbine dictate,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.8054783195257187
Acalabrutinibe,0.0,SUS,ABAILABRUTINIBE,1970-01-01,2099-12-31,,792764,RxNorm,1986808,Drug,0.3455967307090759
Pemetrexede,0.0,SUS,Pemetrexe,1970-01-01,2099-12-31,,1304919,RxNorm,68446,Drug,0.34765851497650146
Asparaginase,0.0,SUS,Asparaginase,1970-01-01,2099-12-31,,19012585,RxNorm,1156,Drug,1.0
Mitomicina,0.0,SUS,Mitomycin,1970-01-01,2099-12-31,,1389036,RxNorm,632,Drug,0.999998281173589
Palbociclibe,0.0,SUS,Palbocyclibe,1970-01-01,2099-12-31,,45892075,RxNorm,1601374,Drug,0.4259289503097534
Pembrolizumabe,0.0,SUS,Pembrolizumab,1970-01-01,2099-12-31,,45775965,RxNorm,1547545,Drug,0.9999979860961048
Dasatinibe,0.0,SUS,Dasatinib,1970-01-01,2099-12-31,,1358436,RxNorm,475342,Drug,1.0
Mitotano,0.0,SUS,Mitotane,1970-01-01,2099-12-31,,1309161,RxNorm,7004,Drug,0.9999982414816486
Mesna,0.0,SUS,Menna,1970-01-01,2099-12-31,,1354698,RxNorm,44,Drug,0.08341169357299805
Malato de sunitinibe,0.0,SUS,Sunitinibe Malato,1970-01-01,2099-12-31,,1336539,RxNorm,357977,Drug,0.7066459059715271
Mifamurtida,0.0,SUS,Myphamurt,1970-01-01,2099-12-31,,19126896,RxNorm,7094,Drug,-0.07916915416717529
Fluoruracila,0.0,SUS,Fluoruracil,1970-01-01,2099-12-31,,955632,RxNorm,4492,Drug,0.8097624033689499
Vinflunina,0.0,SUS,Vinflunin,1970-01-01,2099-12-31,,1196514,RxNorm,25120,Drug,0.24646759033203125
Dimetilsulfóxido de trametinibe,0.0,SUS,Trametinib,1970-01-01,2099-12-31,,43532497,RxNorm,1425099,Drug,0.9999982923004609
Hidroxiureia,0.0,SUS,Hydroxyurea,1970-01-01,2099-12-31,,1377141,RxNorm,5552,Drug,0.9999984915775713
Cloridrato de anagrelida,0.0,SUS,Anagrelida Hydrochloride,1970-01-01,2099-12-31,,1381253,RxNorm,596724,Drug,0.7438734173774719
Gefitinibe,0.0,SUS,GEFITINIBE,1970-01-01,2099-12-31,,1319193,RxNorm,328134,Drug,0.11740142107009888
Axitinibe,0.0,SUS,Axitinib,1970-01-01,2099-12-31,,42709322,RxNorm,1242999,Drug,1.0
Lorlatinibe,0.0,SUS,Lorlatinib,1970-01-01,2099-12-31,,35201733,RxNorm,2103164,Drug,0.9999986836622838
Cloridrato de ponatinibe,0.0,SUS,Ponatinibe Hydrochloride,1970-01-01,2099-12-31,,43013182,RxNorm,1364347,Drug,0.7435356378555298
Bevacizumabe,0.0,SUS,Bevacizumab,1970-01-01,2099-12-31,,1397141,RxNorm,253337,Drug,1.0
Rituximabe,0.0,SUS,Rituximab,1970-01-01,2099-12-31,,1314273,RxNorm,121191,Drug,1.0
Dactinomicina,0.0,SUS,Dactinomycin,1970-01-01,2099-12-31,,1311443,RxNorm,3100,Drug,0.9999985443869264
Vemurafenibe,0.0,SUS,Vemurafenib,1970-01-01,2099-12-31,,40241937,RxNorm,1147220,Drug,0.9999982336707944
Cloridrato de daunorrubicina,0.0,SUS,Daunorrubicin Hydrochloride,1970-01-01,2099-12-31,,1311799,RxNorm,3109,Drug,0.8123041689395905
Cloridrato de alectinibe,0.0,SUS,Alectinib Hydrochloride,1970-01-01,2099-12-31,,,,,,1.0
Maleato de neratinibe,0.0,SUS,Neratinibe Maleato,1970-01-01,2099-12-31,,793846,RxNorm,1940643,Drug,0.5154930353164673
Prenidsolona,0.0,SUS,Prenidsolona,1970-01-01,2099-12-31,,1550557,RxNorm,8638,Drug,0.2859771251678467
Pemetrexede dissódico,0.0,SUS,Disodium,1970-01-01,2099-12-31,,991710,RxNorm,236719,Drug,0.5727639198303223
Baricitinibe,0.0,SUS,Baricitinib,1970-01-01,2099-12-31,,1510627,RxNorm,2047232,Drug,0.9994853246025741
Tosilato de sorafenibe,0.0,SUS,Sorafenib,1970-01-01,2099-12-31,,1363387,RxNorm,495881,Drug,1.0
Talidomida,0.0,SUS,Talidomide,1970-01-01,2099-12-31,,19137042,RxNorm,10432,Drug,0.6849919557571411
Zanubrutinibe,0.0,SUS,ZANUBRUTINIBE,1970-01-01,2099-12-31,,37497691,RxNorm,2262435,Drug,0.6198710203170776
Cloridrato de doxorrubicina,0.0,SUS,Doxorubicin Hydrochloride,1970-01-01,2099-12-31,,1338512,RxNorm,3639,Drug,0.9664898291230202
Capecitabina,0.0,SUS,Capecitabine,1970-01-01,2099-12-31,,1337620,RxNorm,194000,Drug,0.9999982496627808
Pegaspargase,0.0,SUS,Pegaspargasis,1970-01-01,2099-12-31,,1326481,RxNorm,34132,Drug,0.7319905459880829
Vandetanibe,0.0,SUS,Vandetanib,1970-01-01,2099-12-31,,40238052,RxNorm,1098413,Drug,0.9999984051318052
Temozolamida,0.0,SUS,Temozolamide,1970-01-01,2099-12-31,,1341149,RxNorm,37776,Drug,0.7744551450014114
Ipilimumabe,0.0,SUS,Ipilimmab,1970-01-01,2099-12-31,,40238188,RxNorm,1094833,Drug,0.4492990970611572
Ibrutinibe,0.0,SUS,Ibrutinib,1970-01-01,2099-12-31,,44507848,RxNorm,1442981,Drug,0.9999981626281169
Pamidronato dissódico,0.0,SUS,Disodium Pamidronate,1970-01-01,2099-12-31,,1511646,RxNorm,11473,Drug,0.9457406364381313
Venetoclax,0.0,SUS,Venetoclax,1970-01-01,2099-12-31,,35604205,RxNorm,1747556,Drug,1.0
OncoBCG,0.0,SUS,OncobCG,1970-01-01,2099-12-31,,706266,LOINC,LP172901-3,Meas Value,0.23476356267929077
Alfainterferona 2a,0.0,SUS,Alfainterferone 2a,1970-01-01,2099-12-31,,1379969,RxNorm,5879,Drug,0.4235072135925293
Docetaxel triidratado,0.0,SUS,Trihydrate Doctaxel,1970-01-01,2099-12-31,,1315942,RxNorm,72962,Drug,0.36104094982147217
Teniposídeo,0.0,SUS,Teniposide,1970-01-01,2099-12-31,,19136750,RxNorm,10362,Drug,0.9999971897925661
Lanreotida,0.0,SUS,Lanreotide,1970-01-01,2099-12-31,,1503501,RxNorm,68092,Drug,0.9999985094150361
Cetuximabe,0.0,SUS,Cetuximab,1970-01-01,2099-12-31,,1315411,RxNorm,318341,Drug,1.0
Alpelisibe,0.0,SUS,Alpelisib,1970-01-01,2099-12-31,,1396423,RxNorm,2169285,Drug,0.9999979527033247
Carboplatina,0.0,SUS,Carboplatin,1970-01-01,2099-12-31,,1344905,RxNorm,40048,Drug,1.0
Cisplatina,0.0,SUS,Cisplatin,1970-01-01,2099-12-31,,1397599,RxNorm,2555,Drug,0.9999983932509622
Cloridrato de aminolevulinato de metila,0.0,SUS,Methyl aminolevulin hydrochloride,1970-01-01,2099-12-31,,19025194,RxNorm,337068,Drug,0.6206196248531342
Obinutuzumabe,0.0,SUS,Obinutuzumab,1970-01-01,2099-12-31,,44507676,RxNorm,974779,Drug,0.9999975778655426
Cloridrato de pazopanibe,0.0,SUS,PAZOPANIBE Hydrochloride,1970-01-01,2099-12-31,,40167554,RxNorm,714438,Drug,0.372294545173645
Olaparibe,0.0,SUS,Olaparibe,1970-01-01,2099-12-31,,45892579,RxNorm,1597582,Drug,0.3671110272407532
Nivolumabe,0.0,SUS,Nigrumab,1970-01-01,2099-12-31,,45892628,RxNorm,1597876,Drug,0.2446974515914917
Everolimo,0.0,SUS,Everolimo,1970-01-01,2099-12-31,,19011440,RxNorm,141704,Drug,0.38420575857162476
Cloridrato de mitoxantrona,0.0,SUS,Mitoxantron Hydrochloride,1970-01-01,2099-12-31,,1309188,RxNorm,7005,Drug,0.6561046838760376
Acetato de abiraterona,0.0,SUS,Abiraterone acetate,1970-01-01,2099-12-31,,,,,,1.0
Carfilzomibe,0.0,SUS,Carfilzomibe,1970-01-01,2099-12-31,,42873638,RxNorm,1302966,Drug,0.8522284030914307
Eritropoetina,0.0,SUS,Erythropoetin,1970-01-01,2099-12-31,,3024172,LOINC,15061-5,Measurement,0.5784191191196442
Hemifumarato de gilteritinibe,0.0,SUS,GILTERITINIBE HEMIFUMARATE,1970-01-01,2099-12-31,,1355513,RxNorm,2105806,Drug,0.27753782272338867
Amifostina,0.0,SUS,Amipostin,1970-01-01,2099-12-31,,1350040,RxNorm,4126,Drug,0.1582355499267578
Fosfato de ruxolitinibe,0.0,SUS,Ruxolitinibe phosphate,1970-01-01,2099-12-31,,40244464,RxNorm,1193326,Drug,0.857755035161972
Ciproterona,0.0,SUS,Cyproterone,1970-01-01,2099-12-31,,19010792,RxNorm,3014,Drug,0.9999983676036663
Vismodegibe,0.0,SUS,Vismodegib,1970-01-01,2099-12-31,,42709321,RxNorm,1242987,Drug,0.9999980691643486
Tretinoína,0.0,SUS,Tretinoin,1970-01-01,2099-12-31,,903643,RxNorm,10753,Drug,0.9999986270623822
Elotuzumabe,0.0,SUS,ELOTUZUMAB,1970-01-01,2099-12-31,,35604032,RxNorm,1726104,Drug,0.6729573607444763
Mesilato de osimertinibe,0.0,SUS,Mesylate of osimertinibe,1970-01-01,2099-12-31,,35605522,RxNorm,1721560,Drug,0.4975825548171997
Oxaliplatina,0.0,SUS,Oxaliplatin,1970-01-01,2099-12-31,,1318011,RxNorm,32592,Drug,1.0
Sulfato de vincristina,0.0,SUS,Vinistine sulfate,1970-01-01,2099-12-31,,1308290,RxNorm,11202,Drug,0.32522761821746826
Enzalutamida,0.0,SUS,Enzalutamide,1970-01-01,2099-12-31,,42900250,RxNorm,1307298,Drug,0.9999987720232184
Trastuzumabe deruxtecana,0.0,SUS,Trastuzumab derxtecana,1970-01-01,2099-12-31,,1387104,RxNorm,224905,Drug,0.8698057383298874
Inotuzumabe ozogamicina,0.0,SUS,Inotuzumab ozogamycin,1970-01-01,2099-12-31,,794068,RxNorm,1942950,Drug,0.8668360114097595
Etoposídeo,0.0,SUS,Etoposide,1970-01-01,2099-12-31,,1350504,RxNorm,4179,Drug,1.0
Cabazitaxel,0.0,SUS,Cabazitaxel,1970-01-01,2099-12-31,,40222431,RxNorm,996051,Drug,0.9999984334722285
Gentuzumabe ozogamicina,0.0,SUS,Guntuzumab ozogamycin,1970-01-01,2099-12-31,,42799711,RxNorm,1294580,Drug,0.6552119851112366
Citrato de ixazomibe,0.0,SUS,Ixazomibe citrate,1970-01-01,2099-12-31,,35606214,RxNorm,1723735,Drug,0.7245183885097504
Letrozol,0.0,SUS,Letterozole,1970-01-01,2099-12-31,,1315946,RxNorm,72965,Drug,0.32277023792266846
Acetato de leuprorrelina,0.0,SUS,Leuprooriline acetate,1970-01-01,2099-12-31,,1351541,RxNorm,42375,Drug,0.5075908005237579
Mesilato de lenvatinibe,0.0,SUS,Lenvatinibe mesylate,1970-01-01,2099-12-31,,46221433,RxNorm,1603296,Drug,0.8640646040439606
Cladribina,0.0,SUS,Cladribine,1970-01-01,2099-12-31,,19054825,RxNorm,44157,Drug,1.0
Mesilato de eribulina,0.0,SUS,Mesylate of,1970-01-01,2099-12-31,,43532444,RxNorm,1426388,Drug,0.7425466775894165
Metotrexato de sódio,0.0,SUS,Sodium methotrexate,1970-01-01,2099-12-31,,1305058,RxNorm,6851,Drug,0.7389437556266785
Cloridrato de erlotinibe,0.0,SUS,Erlotinib Hydrochloride,1970-01-01,2099-12-31,,1325363,RxNorm,337525,Drug,0.9684734009206295
Apalutamida,0.0,SUS,Apalutamide,1970-01-01,2099-12-31,,963987,RxNorm,1999574,Drug,1.0
Azacitidina,0.0,SUS,Azacitidine,1970-01-01,2099-12-31,,1314865,RxNorm,1251,Drug,0.9999979877857186
Polatuzumabe vedotina,0.0,SUS,POLATUZUMABE VEDOTINE,1970-01-01,2099-12-31,,1396729,RxNorm,2174090,Drug,0.45488440990448
Cloreto de rádio (223 ra),0.0,SUS,Radio chloride (223 ra),1970-01-01,2099-12-31,,45775578,RxNorm,1546450,Drug,0.6277267336845398
Midostaurina,0.0,SUS,Mostaurine,1970-01-01,2099-12-31,,19136716,RxNorm,10337,Drug,0.20427149534225464
Denosumabe,0.0,SUS,Denosumab,1970-01-01,2099-12-31,,40222444,RxNorm,993449,Drug,0.9999980690129178
Regorafenibe,0.0,SUS,Regofenib,1970-01-01,2099-12-31,,42903460,RxNorm,1312397,Drug,0.48597753047943115
Nimotuzumabe,0.0,SUS,Nimotuzumab,1970-01-01,2099-12-31,,35606215,RxNorm,1723738,Drug,0.40845727920532227
Paclitaxel,0.0,SUS,Paclitaxel,1970-01-01,2099-12-31,,1378382,RxNorm,56946,Drug,0.9999984496575962
Fulvestranto,0.0,SUS,Loud,1970-01-01,2099-12-31,,4076007,SNOMED,24547000,Condition,0.3556252121925354
Dietilestilbenol,0.0,SUS,Dietylbenol,1970-01-01,2099-12-31,,43531845,RxNorm,1426392,Drug,0.28897786140441895
Trióxido de arsênio,0.0,SUS,Arsenic trioxide,1970-01-01,2099-12-31,,1333379,RxNorm,18330,Drug,1.0
Anastrozol,0.0,SUS,Anastrozole,1970-01-01,2099-12-31,,1348265,RxNorm,84857,Drug,0.999998467500518
Bicalutamida,0.0,SUS,Bicalutamide,1970-01-01,2099-12-31,,1344381,RxNorm,83008,Drug,0.9999984721864621
Isatuximabe,0.0,SUS,Isatuximab,1970-01-01,2099-12-31,,37498969,RxNorm,2282018,Drug,0.9999981414038075
Cloridrato de doxorrubicina lipossomal peguilado,0.0,SUS,Liposomal Doxorubicin Hydrochloride,1970-01-01,2099-12-31,,1338512,RxNorm,3639,Drug,0.721500813961029
Ramucirumabe,0.0,SUS,Ramucirumab,1970-01-01,2099-12-31,,44818489,RxNorm,1535922,Drug,0.9999981480387987
Cloridrato de irinotecano,0.0,SUS,Irinotecan Hydrochloride,1970-01-01,2099-12-31,,1367268,RxNorm,51499,Drug,0.9698639325797558
Belinostate,0.0,SUS,Belinostate,1970-01-01,2099-12-31,,,,,,1.0
Bortezomibe,0.0,SUS,Bortezomibe,1970-01-01,2099-12-31,,1336825,RxNorm,358258,Drug,0.8214908689260483
Aflibercepte,0.0,SUS,Afflicted,1970-01-01,2099-12-31,,45772876,SNOMED,706873003,Condition,0.22951632738113403
Procarbazina,0.0,SUS,Procarbazine,1970-01-01,2099-12-31,,1351779,RxNorm,8702,Drug,0.9999983319154353
Sulfato de larotrectinibe,0.0,SUS,Larotrectinib,1970-01-01,2099-12-31,,1355705,RxNorm,2105628,Drug,0.9999986174398146
Cloridrato de topotecana,0.0,SUS,Topotecan Hydrochloride,1970-01-01,2099-12-31,,1378509,RxNorm,57308,Drug,0.9701180644333363
Cloridrato de bendamustina,0.0,SUS,Bendamustine hydrochloride,1970-01-01,2099-12-31,,19015523,RxNorm,134547,Drug,1.0
Acetato de gosserrelina,0.0,SUS,Gosserrelin acetate,1970-01-01,2099-12-31,,1366310,RxNorm,50610,Drug,0.45238691568374634
Succinato de ribociclibe,0.0,SUS,Ribocyclibe succinate,1970-01-01,2099-12-31,,1592911,RxNorm,1873916,Drug,0.5939285159111023
Lomustina,0.0,SUS,Lomustine,1970-01-01,2099-12-31,,1391846,RxNorm,6466,Drug,1.0
Citrato de tamoxifeno,0.0,SUS,Tamoxifen citrate,1970-01-01,2099-12-31,,1436678,RxNorm,10324,Drug,1.0
Gencitabina,0.0,SUS,Gencientabin,1970-01-01,2099-12-31,,46221435,RxNorm,1603350,Drug,0.05505496263504028
Dacarbazina,0.0,SUS,Dacarbazine,1970-01-01,2099-12-31,,1311409,RxNorm,3098,Drug,0.9999984482695936
Tosilato de niraparibe monoidratado,0.0,SUS,Monohydrate Niraparibe Tosyllato,1970-01-01,2099-12-31,,1593861,RxNorm,1918231,Drug,0.3687417507171631
Citarabina,0.0,SUS,Citarabine,1970-01-01,2099-12-31,,1311078,RxNorm,3041,Drug,0.5996594130992889
Interferon alfa 2a,0.0,SUS,Interferon alpha 2a,1970-01-01,2099-12-31,,1379969,RxNorm,5879,Drug,0.896616630256176
Cloridrato de epirrubicina,0.0,SUS,Eirrubicin Hydrochloride,1970-01-01,2099-12-31,,1344354,RxNorm,3995,Drug,0.4871615767478943
Bussulfano,0.0,SUS,Bussulfano,1970-01-01,2099-12-31,,1333357,RxNorm,1828,Drug,0.2057175636291504
Mesilato de dabrafenibe,0.0,SUS,Dabrafenib Mesylate,1970-01-01,2099-12-31,,43532299,RxNorm,1424911,Drug,0.9688334129750729
Filgrastima,0.0,SUS,Filgrastimal,1970-01-01,2099-12-31,,1304850,RxNorm,68442,Drug,0.6797920167446136
Dicloridrato de capmatinibe monoidratado,0.0,SUS,Monohydrate capmatinib,1970-01-01,2099-12-31,,1145637,RxNorm,2362165,Drug,0.5615279078483582
Ifosfamida,0.0,SUS,Ifosphamide,1970-01-01,2099-12-31,,19078187,RxNorm,5657,Drug,0.566907674074173
Metotrexato,0.0,SUS,Methotrexate,1970-01-01,2099-12-31,,1305058,RxNorm,6851,Drug,0.9999986841958162
Pemetrexede dissódico hemipentaidratado,0.0,SUS,Pemerexede,1970-01-01,2099-12-31,,1758860,RxNorm,2590676,Drug,0.2201419472694397
Brentuximabe vedotina,0.0,SUS,BRETUNXIMABE VEDOTINE,1970-01-01,2099-12-31,,40241969,RxNorm,1147320,Drug,0.28167879581451416
Dexametasona,0.0,SUS,Dexamethasone,1970-01-01,2099-12-31,,1518254,RxNorm,3264,Drug,0.999998486097752
Octreotida,0.0,SUS,Octreotide,1970-01-01,2099-12-31,,1522957,RxNorm,7617,Drug,0.9999984283593903
Ácido folínico,0.0,SUS,Folinic acid,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,0.9999982680755011
Dimaleato de afatinibe,0.0,SUS,AFATINIBE DIMALEATE,1970-01-01,2099-12-31,,43533090,RxNorm,1430438,Drug,0.5106447041034698
Levomalato de cabozantinibe,0.0,SUS,Cabozantinibe Levomalato,1970-01-01,2099-12-31,,43012292,RxNorm,1363268,Drug,0.52694371342659
Carmustina,0.0,SUS,Carmustine,1970-01-01,2099-12-31,,1350066,RxNorm,2105,Drug,0.99999812552187
Tartarato de vinorelbina,0.0,SUS,Vinorelbine tartarate,1970-01-01,2099-12-31,,1343346,RxNorm,39541,Drug,0.883530005812645
Cloridrato de gencitabina,0.0,SUS,Gencitabine Hydrochloride,1970-01-01,2099-12-31,,1314924,RxNorm,12574,Drug,0.5479123592376709
Folinato de cálcio,0.0,SUS,Calcium Folinet,1970-01-01,2099-12-31,,1388796,RxNorm,6313,Drug,0.5712083578109741
Triptorrelina,0.0,SUS,Trithorreline,1970-01-01,2099-12-31,,1105889,RxNorm,10849,Drug,0.18533992767333984
Trastuzumabe entansina,0.0,SUS,Trastuzumab,1970-01-01,2099-12-31,,1387104,RxNorm,224905,Drug,0.9999984711240586
Pertuzumabe,0.0,SUS,Pertuzumab,1970-01-01,2099-12-31,,42801287,RxNorm,1298944,Drug,0.9999982268008125
Prednisona,0.0,SUS,Prednisone,1970-01-01,2099-12-31,,1551099,RxNorm,8640,Drug,1.0
Mercaptopurina,0.0,SUS,Mercaptopine,1970-01-01,2099-12-31,,1436650,RxNorm,103,Drug,0.5753719508647919
0416040292,0.0,SUS,Oncology Peritonectomy,1970-01-01,2099-12-31,,3657454,SNOMED,1219101000000100,Procedure,0.5139754414558411
0409070319,0.0,SUS,Female-to-Female Gender Reassignment,1970-01-01,2099-12-31,,36717747,SNOMED,719670005,Procedure,0.6106143593788147
0410010219,0.0,SUS,Post-Total Mastectomy Breast Reconstruction,1970-01-01,2099-12-31,,4140686,SNOMED,33496007,Procedure,0.3510383367538452
0416040284,0.0,SUS,Endoscopic Esophageal Stent Implantation,1970-01-01,2099-12-31,,4330509,SNOMED,431615005,Procedure,0.5810976624488831
0409010596,0.0,SUS,Transurethral Ureterolithotripsy,1970-01-01,2099-12-31,,4170940,SNOMED,274447002,Procedure,0.5832816660404205
0415020085,0.0,SUS,Sequential Procedures in Gender Reassignment,1970-01-01,2099-12-31,,36717747,SNOMED,719670005,Procedure,0.15165436267852783
0416040306,0.0,SUS,Intraperitoneal Hyperthermic Chemoperfusion,1970-01-01,2099-12-31,,3654354,SNOMED,830155008,Procedure,0.61317378282547
0406030154,0.0,SUS,Percutaneous Closure of Interatrial Septal Communication,1970-01-01,2099-12-31,,4180615,SNOMED,429761006,Procedure,0.6310718357563019
0406011524,0.0,SUS,Transcatheter Aortic Valve Implantation (TAVI),1970-01-01,2099-12-31,,36676805,SNOMED,773996000,Procedure,0.6272163689136505
0405040121,0.0,SUS,Secondary Intraocular Lens Implantation,1970-01-01,2099-12-31,,4026045,SNOMED,225703004,Procedure,0.6713593900203705
0407030255,0.0,SUS,Therapeutic Endoscopic Retrograde Cholangiopancreatography,1970-01-01,2099-12-31,,4304943,SNOMED,386718000,Procedure,0.6484425663948059
0410010170,0.0,SUS,Unilateral Breast Prosthesis Implantation After Previous Breast Implant Complication Treatment,1970-01-01,2099-12-31,,4099462,SNOMED,27315000,Procedure,0.40400969982147217
0410010189,0.0,SUS,Bilateral Breast Prosthesis Implantation After Previous Breast Implant Complication Treatment,1970-01-01,2099-12-31,,4099462,SNOMED,27315000,Procedure,0.41079461574554443
0414020430,0.0,SUS,Tooth Extractions for Supranumerary Teeth,1970-01-01,2099-12-31,,46271073,SNOMED,709108007,Procedure,0.6658188104629517
0404010652,0.0,SUS,Bilateral Bone-Anchored Hearing Prosthesis Surgery - Single Time,1970-01-01,2099-12-31,,4145382,SNOMED,426733001,Procedure,0.7047087848186493
0101010079,0.0,SUS,Yoga,1970-01-01,2099-12-31,,37158463,SNOMED,1259940003,Observation,0.9999984435471561
0101010087,0.0,SUS,Massage/Self-Massage Workshop,1970-01-01,2099-12-31,,21498681,LOINC,LA25338-7,Meas Value,0.18616223335266113
0101010052,0.0,SUS,Community Therapy,1970-01-01,2099-12-31,,4347673,SNOMED,243224001,Observation,0.5878812670707703
0101040075,0.0,SUS,Height Measurement,1970-01-01,2099-12-31,,3036277,LOINC,8302-2,Measurement,0.41649937629699707
